address,bedrooms,type,transaction_prices,transaction_dates,tenure,newBuild,locationLat,locationLng,url
"24, Victor Road, Teddington, Greater London TW11 8SR",3.0,TERRACED,"£570,000",31 Jan 2020,FREEHOLD,False,51.4307,-0.3434,https://www.rightmove.co.uk/house-prices/details/england-153662075-94498761?s=4c5fb52fd505b42f69b5e5fa86b8ab0973110aa4323eeca4863af467fb010955
"Flat 3, Wexford Lodge, 163, Nightingale Lane, London, Greater London SW12 8NL",,FLAT,"£422,000",11 Oct 2024,LEASEHOLD,False,51.44747,-0.16397,https://www.rightmove.co.uk/house-prices/details/england-94475427?s=5d1aef2cd9af4c6c276a399fb62da445438ab1126e521765cbe97377b31e50a6
"Flat 3, Wexford Lodge, 163, Nightingale Lane, London, Greater London SW12 8NL",,FLAT,"£121,000",9 Jul 1999,LEASEHOLD,False,51.44747,-0.16397,https://www.rightmove.co.uk/house-prices/details/england-94475427?s=5d1aef2cd9af4c6c276a399fb62da445438ab1126e521765cbe97377b31e50a6
"Flat 3, Wexford Lodge, 163, Nightingale Lane, London, Greater London SW12 8NL",,FLAT,"£76,500",8 Mar 1996,LEASEHOLD,False,51.44747,-0.16397,https://www.rightmove.co.uk/house-prices/details/england-94475427?s=5d1aef2cd9af4c6c276a399fb62da445438ab1126e521765cbe97377b31e50a6
"Flat 12, Dandridge House, 31, Lamb Street, London, Greater London E1 6ED",,FLAT,"£787,000",11 Oct 2024,LEASEHOLD,False,51.52041,-0.07593,https://www.rightmove.co.uk/house-prices/details/england-94284933?s=1e76dcc2d28cdcaf506ad269f737b00a1611d9e34d65d086350ce7d4ad524d05
"Flat 12, Dandridge House, 31, Lamb Street, London, Greater London E1 6ED",,FLAT,"£195,000",13 Dec 1999,LEASEHOLD,False,51.52041,-0.07593,https://www.rightmove.co.uk/house-prices/details/england-94284933?s=1e76dcc2d28cdcaf506ad269f737b00a1611d9e34d65d086350ce7d4ad524d05
"Flat 12, Dandridge House, 31, Lamb Street, London, Greater London E1 6ED",,FLAT,"£170,000",16 May 1997,LEASEHOLD,False,51.52041,-0.07593,https://www.rightmove.co.uk/house-prices/details/england-94284933?s=1e76dcc2d28cdcaf506ad269f737b00a1611d9e34d65d086350ce7d4ad524d05
"Flat 6, Prairie Building, 45, Liberty Bridge Road, London, Greater London E15 1FU",,FLAT,"£427,500",11 Oct 2024,LEASEHOLD,False,51.54861,-0.00392,https://www.rightmove.co.uk/house-prices/details/england-94286430?s=299982236790ef55871b75430b44d246688d29cc92b85bceae8f21fc7cfbb5aa
"Flat 6, Prairie Building, 45, Liberty Bridge Road, London, Greater London E15 1FU",,FLAT,"£405,000",8 Jun 2023,LEASEHOLD,False,51.54861,-0.00392,https://www.rightmove.co.uk/house-prices/details/england-94286430?s=299982236790ef55871b75430b44d246688d29cc92b85bceae8f21fc7cfbb5aa
"15, Kingston Road, Ilford, Greater London IG1 1PA",4.0,TERRACED,"£495,000",11 Oct 2024,FREEHOLD,False,51.55219,0.07499,https://www.rightmove.co.uk/house-prices/details/england-149684216-94317447?s=63fb4952caed88a56e786c6e651e45577d9b325c090c9fd0a7298a9ccc3c0e60
"51, Devon Way, Chessington, Greater London KT9 2RH",3.0,TERRACED,"£525,000",11 Oct 2024,FREEHOLD,False,51.36752,-0.31436,https://www.rightmove.co.uk/house-prices/details/england-145980620-94325523?s=a061a10294043fa280fd738ceecdf5cab0efd077b524feadb48d372a87403f09
"51, Devon Way, Chessington, Greater London KT9 2RH",3.0,TERRACED,"£413,000",16 Jul 2020,FREEHOLD,False,51.36752,-0.31436,https://www.rightmove.co.uk/house-prices/details/england-145980620-94325523?s=a061a10294043fa280fd738ceecdf5cab0efd077b524feadb48d372a87403f09
"61, Ravenscraig Road, London, Greater London N11 1AE",4.0,SEMI_DETACHED,"£1,100,000",11 Oct 2024,FREEHOLD,False,51.61788,-0.13682,https://www.rightmove.co.uk/house-prices/details/england-148396445-94364625?s=92ff94c471511fcec35d93dbe98ed7a412835fbd0dccc4d4b3108c7e49b65ba3
"61, Ravenscraig Road, London, Greater London N11 1AE",4.0,SEMI_DETACHED,"£725,000",1 Feb 2021,FREEHOLD,False,51.61788,-0.13682,https://www.rightmove.co.uk/house-prices/details/england-148396445-94364625?s=92ff94c471511fcec35d93dbe98ed7a412835fbd0dccc4d4b3108c7e49b65ba3
"40, Parkhurst Road, London, Greater London N7 0FF",1.0,FLAT,"£560,000",11 Oct 2024,LEASEHOLD,False,51.55603,-0.12131,https://www.rightmove.co.uk/house-prices/details/england-70962629-94367130?s=b0a04abfc0336984900968c7d0954227dfdcc3bf31da301f385c51043f903abf
"40, Parkhurst Road, London, Greater London N7 0FF",1.0,FLAT,"£499,950",9 Feb 2016,LEASEHOLD,False,51.55603,-0.12131,https://www.rightmove.co.uk/house-prices/details/england-70962629-94367130?s=b0a04abfc0336984900968c7d0954227dfdcc3bf31da301f385c51043f903abf
"217, Malpas Road, London, Greater London SE4 1BH",3.0,TERRACED,"£810,000",11 Oct 2024,FREEHOLD,False,51.46686,-0.03557,https://www.rightmove.co.uk/house-prices/details/england-146902121-94447149?s=621a387f378683e6ea9f0dbfa7dd88c03962000b5efd4aa1dcb916c8f12c9cfa
"217, Malpas Road, London, Greater London SE4 1BH",3.0,TERRACED,"£720,000",24 Jan 2019,FREEHOLD,False,51.46686,-0.03557,https://www.rightmove.co.uk/house-prices/details/england-146902121-94447149?s=621a387f378683e6ea9f0dbfa7dd88c03962000b5efd4aa1dcb916c8f12c9cfa
"217, Malpas Road, London, Greater London SE4 1BH",3.0,TERRACED,"£436,400",20 Aug 2013,FREEHOLD,False,51.46686,-0.03557,https://www.rightmove.co.uk/house-prices/details/england-146902121-94447149?s=621a387f378683e6ea9f0dbfa7dd88c03962000b5efd4aa1dcb916c8f12c9cfa
"217, Malpas Road, London, Greater London SE4 1BH",3.0,TERRACED,"£66,000",30 Oct 1995,FREEHOLD,False,51.46686,-0.03557,https://www.rightmove.co.uk/house-prices/details/england-146902121-94447149?s=621a387f378683e6ea9f0dbfa7dd88c03962000b5efd4aa1dcb916c8f12c9cfa
"First Floor Flat, 10, Hartham Road, London, Greater London N7 9JG",,FLAT,"£470,024",11 Oct 2024,LEASEHOLD,False,51.55027,-0.12097,https://www.rightmove.co.uk/house-prices/details/england-94367262?s=2fd7c50c7da1f7d573f38fd7e5afc468cc68b43120b3847bfaa5367979bf7ad7
"First Floor Flat, 10, Hartham Road, London, Greater London N7 9JG",,FLAT,"£36,750",19 Nov 1997,LEASEHOLD,False,51.55027,-0.12097,https://www.rightmove.co.uk/house-prices/details/england-94367262?s=2fd7c50c7da1f7d573f38fd7e5afc468cc68b43120b3847bfaa5367979bf7ad7
"15, Wavel Mews, London, Greater London N8 8LQ",4.0,TERRACED,"£858,000",11 Oct 2024,FREEHOLD,False,51.58616,-0.12686,https://www.rightmove.co.uk/house-prices/details/england-145500188-94367418?s=06a54d2281fcd99d2a4def9c54b708da6a24f63aff2853bc32597fd67f108b82
"15, Wavel Mews, London, Greater London N8 8LQ",4.0,TERRACED,"£380,000",16 Jan 2006,FREEHOLD,False,51.58616,-0.12686,https://www.rightmove.co.uk/house-prices/details/england-145500188-94367418?s=06a54d2281fcd99d2a4def9c54b708da6a24f63aff2853bc32597fd67f108b82
